requested_url,final_url,status,elapsed_ms,content_type,content_length,title,lang,direction,description,h1_count,images_total,images_missing_alt,images_empty_alt,images_lazy,empty_links,placeholder_hits,soft_404,error
https://alhikmakw.org.kw/donation/ar/deductions,https://alhikmakw.org.kw/donation/ar/deductions,200,4025,text/html; charset=UTF-8,99103,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,20,1,14,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/eSpTaPAnKC,https://alhikmakw.org.kw/donation/ar/9/0Vz0DT3FdmjFyrXsbsX7EuFqLLPnfK/%D8%B3%D9%86%D8%A7%D8%A8%20%D8%B4%D8%A7%D8%AA,200,4456,text/html; charset=UTF-8,121592,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,16,1,12,0,20,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/login,https://alhikmakw.org.kw/donation/ar/login,200,2488,text/html; charset=UTF-8,51113,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/my-kafala,https://alhikmakw.org.kw/donation/ar/my-kafala,200,2753,text/html; charset=UTF-8,55309,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/numbers-stats,https://alhikmakw.org.kw/donation/ar/numbers-stats,200,3974,text/html; charset=UTF-8,91085,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/orphan-preview/1440,https://alhikmakw.org.kw/donation/ar/orphan-preview/1440,200,1104,text/html; charset=UTF-8,21183,استمارة كفالة يتيم - امباركة محمد محم,ar,rtl,,0,3,0,0,0,0,,False,
https://alhikmakw.org.kw/donation/ar/orphan-preview/1611,https://alhikmakw.org.kw/donation/ar/orphan-preview/1611,200,1546,text/html; charset=UTF-8,21129,استمارة كفالة يتيم - حبيبه لحبيب ورزك,ar,rtl,,0,3,0,0,0,0,,False,
https://alhikmakw.org.kw/donation/ar/orphan-preview/2628,https://alhikmakw.org.kw/donation/ar/orphan-preview/2628,200,1344,text/html; charset=UTF-8,21242,استمارة كفالة يتيم - رحمه رياض احمد عبده ثابت,ar,rtl,,0,3,0,0,0,0,,False,
https://alhikmakw.org.kw/donation/ar/orphan-preview/2908,https://alhikmakw.org.kw/donation/ar/orphan-preview/2908,200,1942,text/html; charset=UTF-8,21196,استمارة كفالة يتيم - محب بكيل امين احمد ناجي,ar,rtl,,0,3,0,0,0,0,,False,
https://alhikmakw.org.kw/donation/ar/orphan-preview/3778,https://alhikmakw.org.kw/donation/ar/orphan-preview/3778,200,1562,text/html; charset=UTF-8,21099,استمارة كفالة يتيم - معتز محمد سلطان الشيخ,ar,rtl,,0,3,0,0,0,0,,False,
https://alhikmakw.org.kw/donation/ar/orphan-preview/3823,https://alhikmakw.org.kw/donation/ar/orphan-preview/3823,200,1976,text/html; charset=UTF-8,21115,استمارة كفالة يتيم - ربى احمد سعيد العلي,ar,rtl,,0,3,0,0,0,0,,False,
https://alhikmakw.org.kw/donation/ar/our-reports,https://alhikmakw.org.kw/donation/ar/our-reports,200,3220,text/html; charset=UTF-8,68576,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/project-fruits/427,https://alhikmakw.org.kw/donation/ar/project-fruits/427,200,3173,text/html; charset=UTF-8,68641,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,26,1,22,8,24,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/projects,https://alhikmakw.org.kw/donation/ar/projects,200,5262,text/html; charset=UTF-8,229670,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,42,2,12,0,39,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/register,https://alhikmakw.org.kw/donation/ar/register,200,2271,text/html; charset=UTF-8,48830,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/requestyourproject,https://alhikmakw.org.kw/donation/ar/requestyourproject,200,2498,text/html; charset=UTF-8,56848,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/sponsorship,https://alhikmakw.org.kw/donation/ar/sponsorship,200,5009,text/html; charset=UTF-8,113949,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,30,1,21,14,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/aboutus,https://alhikmakw.org.kw/donation/ar/whoweare/aboutus,200,2438,text/html; charset=UTF-8,54341,جمعية الحكمة الكويتية الخيرية,ar,rtl,,6,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/achievements,https://alhikmakw.org.kw/donation/ar/whoweare/achievements,200,2568,text/html; charset=UTF-8,50267,جمعية الحكمة الكويتية الخيرية,ar,rtl,,5,18,1,12,0,15,لوريم إيبسوم | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/boardof-director,https://alhikmakw.org.kw/donation/ar/whoweare/boardof-director,200,2502,text/html; charset=UTF-8,50220,جمعية الحكمة الكويتية الخيرية,ar,rtl,,5,20,1,12,0,20,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/faq,https://alhikmakw.org.kw/donation/ar/whoweare/faq,200,2461,text/html; charset=UTF-8,52975,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,15,1,12,0,15,Question (AR) | Answer (AR) | test/gibberish content | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/gallery,https://alhikmakw.org.kw/donation/ar/whoweare/gallery,200,4342,text/html; charset=UTF-8,49823,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,17,3,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/governance,https://alhikmakw.org.kw/donation/ar/whoweare/governance,200,4707,text/html; charset=UTF-8,63734,جمعية الحكمة الكويتية الخيرية,ar,rtl,,4,15,1,12,0,15,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/whoweare/news,https://alhikmakw.org.kw/donation/ar/whoweare/news,200,2992,text/html; charset=UTF-8,50687,جمعية الحكمة الكويتية الخيرية,ar,rtl,,5,15,1,12,0,15,لوريم إيبسوم | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/zakat,https://alhikmakw.org.kw/donation/ar/zakat,200,5204,text/html; charset=UTF-8,85940,جمعية الحكمة الكويتية الخيرية,ar,rtl,,6,17,3,12,0,33,translation key | Project Name placeholder,False,
https://alhikmakw.org.kw/donation/ar/zakat_project,https://alhikmakw.org.kw/donation/ar/zakat_project,200,2911,text/html; charset=UTF-8,62976,جمعية الحكمة الكويتية الخيرية,ar,rtl,,3,27,12,12,0,19,Project Name placeholder,False,
https://alhikmakw.org.kw/donation/en,https://alhikmakw.org.kw/donation/,200,8061,text/html; charset=UTF-8,200458,جمعية الحكمة الكويتية الخيرية,ar,rtl,,6,50,1,22,7,34,Project Name placeholder,False,
